pid,film,label,timestamp,alt,layout,order,collection,thumbnail,full,manifest,distance,location,movement,lighting,angle,composition
TWBB-00031,There Will Be Blood,TWBB-00031,0:00:31,Title screen for There Will Be Blood. White text on a black background.,film_item,0,twbb,"/img/derivatives/iiif/images/TWBB-00031/full/250,/0/default.jpg","/img/derivatives/iiif/images/TWBB-00031/full/1140,/0/default.jpg",/img/derivatives/iiif/TWBB-00031/manifest.json,"","","","","",""
TWBB-00047,There Will Be Blood,TWBB-00047,0:00:47,Three large desert hills against a pale blue sky with puffy white clouds.,film_item,1,twbb,"/img/derivatives/iiif/images/TWBB-00047/full/250,/0/default.jpg","/img/derivatives/iiif/images/TWBB-00047/full/1140,/0/default.jpg",/img/derivatives/iiif/TWBB-00047/manifest.json,establishing shot,outdoor,fixed,high key,"",""
TWBB-00054,There Will Be Blood,TWBB-00054,0:00:54,Daniel swings a pickaxe in a dark mineshaft.,film_item,2,twbb,"/img/derivatives/iiif/images/TWBB-00054/full/250,/0/default.jpg","/img/derivatives/iiif/images/TWBB-00054/full/1140,/0/default.jpg",/img/derivatives/iiif/TWBB-00054/manifest.json,medium shot,indoor,fixed,low key,eye-level,single shot
TWBB-00214,There Will Be Blood,TWBB-00214,0:02:14,"Daniel sits by a campfire at dusk. White text in the center of the screen reads, ""1898.""",film_item,3,twbb,"/img/derivatives/iiif/images/TWBB-00214/full/250,/0/default.jpg","/img/derivatives/iiif/images/TWBB-00214/full/1140,/0/default.jpg",/img/derivatives/iiif/TWBB-00214/manifest.json,full shot,outdoor,"",low key,eye-level,single shot
TWBB-03219,There Will Be Blood,TWBB-03219,0:32:19,Daniel and H.W. sit overlooking a landscape of rolling desert hills.,film_item,4,twbb,"/img/derivatives/iiif/images/TWBB-03219/full/250,/0/default.jpg","/img/derivatives/iiif/images/TWBB-03219/full/1140,/0/default.jpg",/img/derivatives/iiif/TWBB-03219/manifest.json,close-up,outdoor,"","",eye-level,two shot
